"name","nutrient","disease","diet","ingredients","steps"
"4 ingredient banana cake for two","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""bisquick"",""mashed banana"",""egg white"",""splenda sugar substitute""]","[""1"",""preheat oven to 200f"",""2"",""blend all ingredients together"",""3"",""add more or less sugar to your own personal liking"",""4"",""pour into baking bowl"",""i usually use a round medium-sized pyrex , as it is a small serving"",""5"",""bake for 12-15 mins , or until golden brown""]"
"ala mexicana corn soup","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""garlic"",""olive oil"",""onion"",""fresh jalapeno peppers"",""ground cumin"",""coriander powder"",""salt & freshly ground black pepper"",""carrot"",""celery"",""chicken stock"",""corn"",""red bell pepper"",""fresh coriander"",""cayenne"",""corn tortilla strips""]","[""in a kettle cook the garlic in the oil over moderately low heat , stirring for 1 minute , add the onion and the jalapeno peppers , and cook the mixture , stirring , until the onion is softened"",""add the cumin , the ground coriander seed , and salt and black pepper to taste and cook the mixture , stirring , for 2 minutes"",""add the carrot and the celery and cook the mixture over moderate heat , stirring , for 5 minutes"",""add the stock , the corn cobs , and 2 1 / 2 cups water and simmer the mixture for 15 minutes"",""add all but 1 cup of the reserved corn kernels , simmer the mixture for 12 to 15 minutes , or until the kernels are very tender , and discard the cobs"",""in a blender puree the mixture in batches , blending each batch on high speed for at least 1 minute , or until it is very smooth"",""let the soup cool to room temperature"",""in a small saucepan of boiling water boil the remaining 1 cup reserved corn kernels for 2 to 4 minutes , or until they are tender , drain them in a colander , and refresh them under cold water"",""stir the corn into the soup with the roasted bell pepper , the minced coriander , the cayenne , and salt and black pepper to taste and serve the soup at room temperature"",""garnish with fried tortilla strips""]"
"a w coney island hot dog sauce","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""hamburger"",""onions"",""tomato paste"",""tomato puree"",""sugar"",""cider vinegar"",""chili powder"",""pepper"",""celery seed"",""salt""]","[""brown hamburger and onions in very large skillet"",""drain"",""add the remaining ingredients and simmer , or cook on low in a crockpot , for 3 hours"",""stir frequently , as it will tend to stick"",""this freezes well"",""serve with dry minced onions rehydrated in boiling water""]"
"alabama coney style hot dogs","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""ground beef"",""onion"",""yellow mustard"",""cider vinegar"",""sugar"",""water"",""worcestershire sauce"",""celery seed', \""frank's red hot sauce\"", 'tomato sauce"",""ketchup"",""hot dog"",""hot dog bun"",""coleslaw""]","[""in a skillet over med-high heat , brown the beef with the onion"",""as the mixture browns , break up the beef with a fork"",""pour off the fat and add all remaining sauce ingredients , mixing well"",""simmer over low heat , partially covered and stirring frequently for 1 hour , or until mixture thickens"",""if desired , add an additional tablespoon of cider vinegar the last 15 minutes of cooking"",""place hot dogs in buns and top with mustard , onion , coleslaw or sauerkraut , and alabama coney sauce"",""serve immediately""]"
"4 ingredient easy chocolate fudge","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""semi-sweet chocolate chips"",""sweetened condensed milk"",""almonds"",""vanilla extract""]","[""line an 8 or 9-inch square baking pan with foil or parchment paper"",""conventional method: in a double boiler , melt chips and milk"",""stir until smooth"",""add nuts and vanilla"",""microwave method: melt chocolate chips and milk on 50 percent power , 3 to 5 minutes"",""stirring twice while microwaving and once at the end until smooth"",""stir in nuts and vanilla"",""pour into prepared pan and chill until set""]"
"a twist on rice krispie treats","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""karo syrup"",""white sugar"",""peanut butter"",""rice krispies"",""chocolate chips"",""butterscotch chips""]","[""mix karo syrup and sugar in large saucepan"",""at first bubble remove from heat"",""stir in peanut butter and cereal"",""spread mixture in 9x13 buttered pan"",""in small saucepan melt two kinds of chips"",""spread on mixture"",""cool on counter"",""refrigerate when chocolate hardens""]"
"acapulco rice","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""tomato sauce"",""water"",""chili powder"",""minute rice"",""tortilla chips"",""cheddar cheese""]","[""combine tomato sauce water and chili powder in medium saucepan"",""bring to a full boil"",""stir in rice"",""cover remove from heat and let stand for 10 mins"",""sprinkle with tortilla chips and cheese""]"
"african rice balls","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""basmati rice"",""water""]","[""in a saucepan , bring the water to a boil and add rice"",""simmer for 10 minutes or until the rice is really soft and has absorbed all the water"",""with a wooden spoon , mash the rice until it sticks together"",""divide the rice into four equal portions then , using a clean cloth to protect your hands , or two large serving spoons , mould each portion into a ball""]"
"3 ingredient fluffy apple pancakes","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""bisquick baking mix"",""unsweetened applesauce"",""water"",""cinnamon""]","[""in a medium bowl , mix bisquik , applesauce and water"",""add cinnamon if desired"",""be sure to add liquids slowly to adjust for desired thick / thinness"",""do not make it too thin or pancakes will not set"",""spray skillet with nonstick spray , set over high heat"",""to test for appropriate heat before cooking: splash a few droplets of water on skillet"",""if water splatters across the skillet , it is ready', \""it is important to get the pan hot before you cook or pancakes won't brown properly\"", 'when ready , pour in batter , about 3 tbsp full each for smaller pancakes , or according to personal preference"",""wait about 1 minute , or until bubbles set , before flipping', \""don't flip too many times or your pancakes will be flat !\"", 'serve immediately , or if not , leave to cool on paper towels and freeze for longer storage""]"
"4 layer pizza dip","Carbohydrates","["""",""diabeties"",""obesity""]","["" low fat diet""]","[""fat free cream cheese"",""fat free sour cream"",""mozzarella cheese"",""diced tomatoes"",""garlic powder"",""onion powder"",""italian seasoning"",""kosher salt"",""pepper"",""pepperoni"",""cooked bacon""]","[""preheat oven to 350"",""in a blender combine tomatoes , garlic , onion , italian seasoning , salt , and pepper"",""blend until pureed"",""set pizza sauce aside"",""in a medium bowl , combine cream cheese , sour cream and 2 ounces of shredded cheese"",""mix well until well combined"",""spread cream cheese mixture in an even layer over baking dish"",""pour blended pizza sauce over cream cheese mixture and evenly distribute with spatula"",""sprinkle remaining shredded cheese over pizza sauce"",""top pizza dip with bacon and pepperoni"",""bake for 20-25 minutes , until cheese is browned and bubbly""]"
